n,Time,year,month,dayDay,day,Num,Customer,cust_name,Item,ItemCode,ItemCodeSub,Quantity,UnitPrice,Tax,Amount,Des,ReceiptNo,Cost,Profit,Goods
3,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37,BakerBurn15,40,0.275,54.54545455,600,71047Baker's Professional Lighting:Store #25Burnished Brass (60 watt)  w/Golden Umber Accents,1113,150,450,Burnished Brass (60 watt)  w/Golden Umber Accents
4,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Cand. Light, 20 watts (8 pack)",AB38,BakerCand20,20,0.55,5.090909091,56,"71047Baker's Professional Lighting:Store #25Cand. Light, 20 watts (8 pack)",1114,24,32,"Cand. Light, 20 watts (8 pack)"
5,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Halogen Lamp, 20 watts, Luminous Intensity",AB60,BakerHalo19,2,5.5,1.090909091,12,"71047Baker's Professional Lighting:Store #25Halogen Lamp, 20 watts, Luminous Intensity",1115,6,6,"Halogen Lamp, 20 watts, Luminous Intensity"
6,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",AB64,BakerPear11,20,0.55,51.81818182,570,"71047Baker's Professional Lighting:Store #25Pearl Nickle, 5 Light, Medium Base (100 watt max)",1116,240,330,"Pearl Nickle, 5 Light, Medium Base (100 watt max)"
7,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Pendant Bar, Cobblestone, 50lbs. max",AB65,BakerPend17,20,0.55,4.545454545,50,"71047Baker's Professional Lighting:Store #25Pendant Bar, Cobblestone, 50lbs. max",1117,20,30,"Pendant Bar, Cobblestone, 50lbs. max"
8,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Specialty Bulbs, 100 watt (6 pack)",AB74,BakerSpec16,10,1.1,5,55,"71047Baker's Professional Lighting:Store #25Specialty Bulbs, 100 watt (6 pack)",1118,23.75,31.25,"Specialty Bulbs, 100 watt (6 pack)"
9,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",AB84,BakerTiff14,4,2.75,46.36363636,510,"71047Baker's Professional Lighting:Store #25Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",1119,240,270,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)"
10,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",AB85,BakerVero18,9,1.222222222,27.27272727,300,"71047Baker's Professional Lighting:Store #25Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",1120,140,160,"Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max"
28,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass",AB36,GodwiBrus24,30,0.366666667,60,660,"71050Godwin Lighting Depot:Store #202Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass",1138,300,360,"Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass"
29,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser",AB54,GodwiFlus23,20,0.55,55.27272727,608,"71050Godwin Lighting Depot:Store #202Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser",1139,256,352,"Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser"
30,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Halogen Lamp, 20 watts, Luminous Intensity",AB60,GodwiHalo29,6,1.833333333,3.490909091,38.4,"71050Godwin Lighting Depot:Store #202Halogen Lamp, 20 watts, Luminous Intensity",1140,19.2,19.2,"Halogen Lamp, 20 watts, Luminous Intensity"
31,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",AB64,GodwiPear21,85,0.129411765,215.9090909,2375,"71050Godwin Lighting Depot:Store #202Pearl Nickle, 5 Light, Medium Base (100 watt max)",1141,1000,1375,"Pearl Nickle, 5 Light, Medium Base (100 watt max)"
32,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,River Rock (8/60 watt)  Faux Alabaster Glass,AB70,GodwiRive26,33,0.333333333,163.6363636,1800,71050Godwin Lighting Depot:Store #202River Rock (8/60 watt)  Faux Alabaster Glass,1142,450,1350,River Rock (8/60 watt)  Faux Alabaster Glass
33,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Roman Bronze, 1-light Lantern, w/tail, (100 watt max)",AB71,GodwiRoma22,23,0.47826087,77.27272727,850,"71050Godwin Lighting Depot:Store #202Roman Bronze, 1-light Lantern, w/tail, (100 watt max)",1143,380,470,"Roman Bronze, 1-light Lantern, w/tail, (100 watt max)"
34,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Specialty Bulbs, 100 watt (6 pack)",AB74,GodwiSpec28,20,0.55,10,110,"71050Godwin Lighting Depot:Store #202Specialty Bulbs, 100 watt (6 pack)",1144,47.5,62.5,"Specialty Bulbs, 100 watt (6 pack)"
35,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Specialty, Stage & Studio Bulbs  60 watt",AB75,GodwiSpec27,25,0.44,29.54545455,325,"71050Godwin Lighting Depot:Store #202Specialty, Stage & Studio Bulbs  60 watt",1145,125,200,"Specialty, Stage & Studio Bulbs  60 watt"
36,14/1/2018,2018,1,14,7,71050,Godwin Lighting Depot:Store #202,Go15,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",AB84,GodwiTiff25,8,1.375,92.72727273,1020,"71050Godwin Lighting Depot:Store #202Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",1146,480,540,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)"
53,28/1/2018,2018,1,28,7,71053,Miscellaneous - Retail:Alison Johnson,Al27,Tapestry (8/60 watt)  Faux Alabaster Glass,AB79,MisceTape43,20,0.55,27.27272727,300,71053Miscellaneous - Retail:Alison JohnsonTapestry (8/60 watt)  Faux Alabaster Glass,1163,75,225,Tapestry (8/60 watt)  Faux Alabaster Glass
54,28/1/2018,2018,1,28,7,71053,Miscellaneous - Retail:Alison Johnson,Al27,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",AB82,MisceTape42,4,2.75,8.181818182,90,"71053Miscellaneous - Retail:Alison JohnsonTapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",1164,30,60,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10"
55,28/1/2018,2018,1,28,7,71053,Miscellaneous - Retail:Alison Johnson,Al27,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",AB86,MisceVian44,12,0.916666667,36.36363636,400,"71053Miscellaneous - Retail:Alison JohnsonVianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",1165,193.79,206.21,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)"
56,28/1/2018,2018,1,28,7,71053,Miscellaneous - Retail:Alison Johnson,Al27,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",AB88,MisceWhit45,15,0.733333333,5.818181818,64,"71053Miscellaneous - Retail:Alison JohnsonWhite, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",1166,30,34,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass"
230,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass",AB17,Cole Athe54,3,3.666666667,7.363636364,81,"71072Cole Home Builders:Phase 2 - Lot 5Athena Collection, (100 watt max) Copper Verde, Seeded Glass",1340,32.14,48.86,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass"
231,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20,Cole Beve62,6,1.833333333,7.854545455,86.4,"71072Cole Home Builders:Phase 2 - Lot 5Beveled Mirror, Etched Ribbed Glass (75 watt max)",1341,44,42.4,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
232,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",AB22,Cole Blac50,3,3.666666667,10.30909091,113.4,"71072Cole Home Builders:Phase 2 - Lot 5Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1342,54,59.4,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
233,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37,Cole Burn51,18,0.611111111,24.54545455,270,71072Cole Home Builders:Phase 2 - Lot 5Burnished Brass (60 watt)  w/Golden Umber Accents,1343,75,195,Burnished Brass (60 watt)  w/Golden Umber Accents
234,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Cand. Light, 20 watts (8 pack)",AB38,Cole Cand55,18,0.611111111,4.581818182,50.4,"71072Cole Home Builders:Phase 2 - Lot 5Cand. Light, 20 watts (8 pack)",1344,24,26.4,"Cand. Light, 20 watts (8 pack)"
235,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,Chestnut (3/60 watt)  Marble Glass,AB39,Cole Ches52,9,1.222222222,26.59090909,292.5,71072Cole Home Builders:Phase 2 - Lot 5Chestnut (3/60 watt)  Marble Glass,1345,95,197.5,Chestnut (3/60 watt)  Marble Glass
236,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",AB45,Cole Die 46,7,1.571428571,33.38181818,367.2,"71072Cole Home Builders:Phase 2 - Lot 5Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",1346,228,139.2,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass"
237,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Flat Glass, (25 watt max) Polished Brass, 4 light",AB49,Cole Flat61,4,2.75,8.181818182,90,"71072Cole Home Builders:Phase 2 - Lot 5Flat Glass, (25 watt max) Polished Brass, 4 light",1347,40,50,"Flat Glass, (25 watt max) Polished Brass, 4 light"
238,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)",AB52,Cole Fluo56,4,2.75,1.227272727,13.5,"71072Cole Home Builders:Phase 2 - Lot 5Fluorescent Lamp, T-12, Medium Bipin  (30pack)",1348,6.34,7.16,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)"
239,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Fluorescent Lamp, T-5, Bipin",AB53,Cole Fluo57,4,2.75,1.636363636,18,"71072Cole Home Builders:Phase 2 - Lot 5Fluorescent Lamp, T-5, Bipin",1349,6,12,"Fluorescent Lamp, T-5, Bipin"
240,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Halogen Lamp, Volts:3.5  Tubular",AB62,Cole Halo58,1,11,0.45,4.95,"71072Cole Home Builders:Phase 2 - Lot 5Halogen Lamp, Volts:3.5  Tubular",1350,2.5,2.45,"Halogen Lamp, Volts:3.5  Tubular"
241,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",AB64,Cole Pear48,12,0.916666667,31.09090909,342,"71072Cole Home Builders:Phase 2 - Lot 5Pearl Nickle, 5 Light, Medium Base (100 watt max)",1351,160,182,"Pearl Nickle, 5 Light, Medium Base (100 watt max)"
242,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Pendant Bar, Textured White, 50lbs max",AB66,Cole Pend53,5,2.2,2.045454545,22.5,"71072Cole Home Builders:Phase 2 - Lot 5Pendant Bar, Textured White, 50lbs max",1352,10,12.5,"Pendant Bar, Textured White, 50lbs max"
243,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Specialty Bulbs, 100 watt (6 pack)",AB74,Cole Spec59,4,2.75,1.8,19.8,"71072Cole Home Builders:Phase 2 - Lot 5Specialty Bulbs, 100 watt (6 pack)",1353,9.5,10.3,"Specialty Bulbs, 100 watt (6 pack)"
244,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Specialty, Stage & Studio Bulbs  60 watt",AB75,Cole Spec60,4,2.75,4.254545455,46.8,"71072Cole Home Builders:Phase 2 - Lot 5Specialty, Stage & Studio Bulbs  60 watt",1354,20,26.8,"Specialty, Stage & Studio Bulbs  60 watt"
245,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Sunset, Clear Glass, 1-100 watt max.",AB78,Cole Suns49,16,0.6875,11.45454545,126,"71072Cole Home Builders:Phase 2 - Lot 5Sunset, Clear Glass, 1-100 watt max.",1355,60,66,"Sunset, Clear Glass, 1-100 watt max."
246,28/1/2018,2018,1,28,7,71072,Cole Home Builders:Phase 2 - Lot 5,Co9,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",AB82,Cole Tape47,9,1.222222222,22.09090909,243,"71072Cole Home Builders:Phase 2 - Lot 5Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",1356,90,153,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10"
474,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass",AB17,Cole Athe106,3,3.666666667,7.363636364,81,"71088Cole Home Builders:Phase 1 - Lot 2Athena Collection, (100 watt max) Copper Verde, Seeded Glass",1584,32.14,48.86,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass"
475,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20,Cole Beve114,6,1.833333333,7.854545455,86.4,"71088Cole Home Builders:Phase 1 - Lot 2Beveled Mirror, Etched Ribbed Glass (75 watt max)",1585,48.25,38.15,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
476,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",AB22,Cole Blac102,3,3.666666667,10.30909091,113.4,"71088Cole Home Builders:Phase 1 - Lot 2Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1586,57.57,55.83,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
477,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37,Cole Burn103,18,0.611111111,24.54545455,270,71088Cole Home Builders:Phase 1 - Lot 2Burnished Brass (60 watt)  w/Golden Umber Accents,1587,75,195,Burnished Brass (60 watt)  w/Golden Umber Accents
478,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Cand. Light, 20 watts (8 pack)",AB38,Cole Cand107,18,0.611111111,4.581818182,50.4,"71088Cole Home Builders:Phase 1 - Lot 2Cand. Light, 20 watts (8 pack)",1588,24,26.4,"Cand. Light, 20 watts (8 pack)"
479,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,Chestnut (3/60 watt)  Marble Glass,AB39,Cole Ches104,9,1.222222222,26.59090909,292.5,71088Cole Home Builders:Phase 1 - Lot 2Chestnut (3/60 watt)  Marble Glass,1589,97.78,194.72,Chestnut (3/60 watt)  Marble Glass
480,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",AB45,Cole Die 98,7,1.571428571,33.38181818,367.2,"71088Cole Home Builders:Phase 1 - Lot 2Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",1590,228,139.2,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass"
481,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Flat Glass, (25 watt max) Polished Brass, 4 light",AB49,Cole Flat113,4,2.75,8.181818182,90,"71088Cole Home Builders:Phase 1 - Lot 2Flat Glass, (25 watt max) Polished Brass, 4 light",1591,40,50,"Flat Glass, (25 watt max) Polished Brass, 4 light"
482,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)",AB52,Cole Fluo108,4,2.75,1.227272727,13.5,"71088Cole Home Builders:Phase 1 - Lot 2Fluorescent Lamp, T-12, Medium Bipin  (30pack)",1592,6.34,7.16,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)"
483,12/2/2018,2018,2,12,1,71088,Cole Home Builders:Phase 1 - Lot 2,Co6,"Fluorescent Lamp, T-5, Bipin",AB53,Cole Fluo109,4,2.75,1.636363636,18,"71088Cole Home Builders:Phase 1 - Lot 2Fluorescent Lamp, T-5, Bipin",1593,6,12,"Fluorescent Lamp, T-5, Bipin"
